startup_name,tagline,detail_url,category,list_page,name_clean,name_clean_v2
CNIM Group,Flue Gas Cleaning,https://www.frenchcleantech.com/company/categories/air-environment/profile/cnim-flue-gas-cleaning.html,Air & Environment (29),5,CNIM GROUP,CNIM GROUP
Climpact,Climate information technology,https://www.frenchcleantech.com/company/categories/air-environment/profile/climpact-climate-information-technology.html,Air & Environment (29),6,CLIMPACT,CLIMPACT
Neosens,Pure Sensor Solutions,https://www.frenchcleantech.com/company/categories/air-environment/profile/neosens-pure-sensor-solutions.html,Air & Environment (29),6,NEOSENS,NEOSENS
Ederna,Membrane contactors technology,https://www.frenchcleantech.com/company/categories/air-environment/profile/ederna-membrane-contactors-technology.html,Air & Environment (29),6,EDERNA,EDERNA
Eco-solution,Microalgae based fuels,https://www.frenchcleantech.com/company/categories/air-environment/profile/eco-solution-microalgae-based-fuels.html,Air & Environment (29),6,ECO SOLUTION,ECO SOLUTION
Estuaire,Mitigating the environmental impact of aviation,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/estuaire-mitigating-the-environmental-impact-of-aviation.html,Energy efficiency (83),1,ESTUAIRE,ESTUAIRE
Qualisteo,Smart metering system,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/qualisteo-smart-metering-system.html,Energy efficiency (83),1,QUALISTEO,QUALISTEO
Alpinov X,High environmental value cold,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/alpinov-x-high-environmental-value-cold.html,Energy efficiency (83),1,ALPINOV X,ALPINOV X
BeFC,Bioenzymatic Fuel Cells,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/befc-bioenzymatic-fuel-cells.html,Energy efficiency (83),1,BEFC,BEFC
Newheat,Renewable thermal energy,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/newheat-renewable-thermal-energy.html,Energy efficiency (83),1,NEWHEAT,NEWHEAT
Waga Energy,Innovative wasted gas energy recovery,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/waga-energy.html,Energy efficiency (83),2,WAGA ENERGY,WAGA ENERGY
EnobraQ,Specialist in CO2 capture and exploitation using yeast,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enobraq-.html,Energy efficiency (83),2,ENOBRAQ,ENOBRAQ
Coldinnov,Cold production by thermochemical reaction,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/coldinnov-cold-production-by-thermochemical-reaction.html,Energy efficiency (83),2,COLDINNOV,COLDINNOV
Enerbee,Energy harvesting technology,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enerbee-motion-based-energy-harvesters.html,Energy efficiency (83),2,ENERBEE,ENERBEE
Led's Chat,Smart & Interactive LED lighting systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/leds-chat-smart-interactive-led-lighting-systems.html,Energy efficiency (83),2,LED S CHAT,LED SCHAT
Stimergy,Digital boiler,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/stimenergy.html,Energy efficiency (83),3,STIMERGY,STIMERGY
Ledex,A revolution in LED,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ledex-a-revolution-in-led.html,Energy efficiency (83),3,LEDEX,LEDEX
Echy,Clean indoor lighting,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/echy-clean-indoor-lighting.html,Energy efficiency (83),3,ECHY,ECHY
Armor Group,Beautiful light project,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/opv-technology.html,Energy efficiency (83),3,ARMOR GROUP,ARMOR GROUP
Kalray,Low-energy mullticore chips,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/kalray-low-energy-mullticore-chips.html,Energy efficiency (83),3,KALRAY,KALRAY
Enogia,Organic Rankine Cycle Turbine,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enogia-organic-rankine-cycle-turbine.html,Energy efficiency (83),4,ENOGIA,ENOGIA
Aledia,A breakthrough for the led industry,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/aledia-a-breakthrough-for-the-led-industry.html,Energy efficiency (83),4,ALEDIA,ALEDIA
Otonome,Ecological solutions & concepts,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/otonome-ecological-solutions-concepts.html,Energy efficiency (83),4,OTONOME,OTONOME
Sunna Design,LED & Solar lighting solutions,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/sunna-design-led-solar-lighting-solutions.html,Energy efficiency (83),4,SUNNA DESIGN,SUNNA DESIGN
Intent Technologies,Infrastructure for smart housing and smart buildings,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/intent-technologies-operator-of-digital-infrastructure-for-smart.html,Energy efficiency (83),4,INTENT TECHNOLOGIES,INTENT TECHNOLOGIES
Qarnot Computing,Smart Green Processing,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/qarnot-computing-smart-green-processing.html,Energy efficiency (83),5,QARNOT COMPUTING,QARNOT COMPUTING
Aqylon,Power generation & Solar thermal heat,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/aqylyon-.html,Energy efficiency (83),5,AQYLON,AQYLON
Smart Impulse,Smarter metering,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/smart-impulse-smarter-metering.html,Energy efficiency (83),5,SMART IMPULSE,SMART IMPULSE
Espaciel,Light Deflector,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/espaciel-light-deflector.html,Energy efficiency (83),5,ESPACIEL,ESPACIEL
Teeo,Remote control system for water and electricity consumption,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/teeo-remote-control-system-for-water-and-electricity-consumption.html,Energy efficiency (83),6,TEEO,TEEO
MACC3,Innovative wall insulation,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/macc3-innovative-insulation-wall.html,Energy efficiency (83),6,MACC3,MACC3
Freemens,Preserve battery life,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/freemens-preserve-battey-life.html,Energy efficiency (83),6,FREEMENS,FREEMENS
AMS R&D,Active Membrane Systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ams-rd-active-membrane-systems.html,Energy efficiency (83),6,AMS R D,AMS RD
Smartgrains,A smart wireless parking guidance solution,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/smartgrains-a-smart-wireless-parking-guidance-solution.html,Energy efficiency (83),7,SMARTGRAINS,SMARTGRAINS
TMC Innovation,Innovative LED lighting,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/tmc-innovation.html,Energy efficiency (83),7,TMC INNOVATION,TMC INNOVATION
Vesta System,Energy efficiency software,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/vesta-system-energy-efficiency-software.html,Energy efficiency (83),7,VESTA SYSTEM,VESTA SYSTEM
INAWA,Innovative CVT with high potential,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/inawa-innovative-cvt-with-high-potential.html,Energy efficiency (83),7,INAWA,INAWA
Actility,M2M and smart grid applications,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/actility-m2m-and-smart-grid-applications.html,Energy efficiency (83),8,ACTILITY,ACTILITY
STIRAL,Converting energy,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/stiral-converting-energy.html,Energy efficiency (83),8,STIRAL,STIRAL
IDEOL,Moving the wind energy offshore,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ideol-moving-the-wind-energy-offshore.html,Energy efficiency (83),8,IDEOL,IDEOL
Splitted Desktop Systems,Low power computing,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/splitted-desktop-systems-low-power-computing.html,Energy efficiency (83),8,SPLITTED DESKTOP SYSTEMS,SPLITTED DESKTOP SYSTEMS
DDIS,Direct Drive Systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ddis-60-direct-drive-systems.html,Energy efficiency (83),9,DDIS,DDIS
Docea Power,ESL solutions for low power design,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/docea-power-esl-solutions-for-low-power-design.html,Energy efficiency (83),9,DOCEA POWER,DOCEA POWER
Avob,The next step in Power Management,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/avob-the-next-step-in-power-management.html,Energy efficiency (83),9,AVOB,AVOB
Ennesys,Environemental Energy Systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ennnesys-environemental-energy-systems.html,Energy efficiency (83),9,ENNESYS,ENNESYS
Wysips,The world’s first transparent photovoltaic film,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/wysips-the-worlds-first-transparent-photovoltaic-film.html,Energy efficiency (83),9,WYSIPS,WYSIPS
Enertime,leader of industrial thermodynamic machines,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enertime.html,Energy efficiency (83),10,ENERTIME,ENERTIME
Effigenie,Managing energy consumption in buildings,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/effigenie-managing-energy-consumption-in-buildings.html,Energy efficiency (83),10,EFFIGENIE,EFFIGENIE
NG2,Less CO2 with PLUG shore power solution,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ng2-plug-shore-power-solution.html,Energy efficiency (83),10,NG2,NG2
Soft4Energy,"Smart Power,Green Grid & Energy Storage",https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/soft4energy-.html,Energy efficiency (83),10,SOFT4ENERGY,SOFT4ENERGY
Grid Pocket,Personal smart grid solutions,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/grid-pocket-personal-smart-grid-solutions.html,Energy efficiency (83),10,GRID POCKET,GRID POCKET
Ecomatic,Heating Baseboards,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ecomatic.html,Energy efficiency (83),11,ECOMATIC,ECOMATIC
Neelogy,Innovative sensor technology,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/neelogy-breakthrough-technology-for-dc-current-sensor.html,Energy efficiency (83),11,NEELOGY,NEELOGY
Exoes,Sustainable heat & Power Engine,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/exoes-sustainable-heat-power-engine.html,Energy efficiency (83),11,EXOES,EXOES
MRCC Industries,The internal combustion revisited,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/mrcc-industries-the-internal-combustion-revisited.html,Energy efficiency (83),11,MRCC INDUSTRIES,MRCC INDUSTRIES
CETH,Innovative hydrogen production systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ceth-innovating-hydrogen-production-systems.html,Energy efficiency (83),11,CETH,CETH
Cooltech,Magneto caloric cooling innovation,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/cooltech-magnetocaloric-cooling-innovation.html,Energy efficiency (83),12,COOLTECH,COOLTECH
Claranor,Ecological pulsed light sterilization,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/claranor-ecological-pulsed-light-sterilization.html,Energy efficiency (83),12,CLARANOR,CLARANOR
Entropy,Datacenter energy optimization,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/entropy-datacenter-energy-optimization.html,Energy efficiency (83),12,ENTROPY,ENTROPY
Sud Ecowatt,Innovative solar heating,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/sud-ecowall-innovative-solar-heating.html,Energy efficiency (83),12,SUD ECOWATT,SUD ECOWATT
Terra Nova Energy,Online energy intelligence,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/terra-nova-energy-online-energy-intelligence.html,Energy efficiency (83),12,TERRA NOVA ENERGY,TERRA NOVA ENERGY
MPPC,Maximize solar power systems,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/mppc-technology-maximises-solar-power-systems.html,Energy efficiency (83),13,MPPC,MPPC
Ewam,Competitiveness and environmental performance,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ewam-competitiveness-environmental-performance.html,Energy efficiency (83),13,EWAM,EWAM
Voltalis,Smart grid technology,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/voltalis.html,Energy efficiency (83),13,VOLTALIS,VOLTALIS
EHW Research,Increase solar yield,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ehw-research-increase-solar-yield.html,Energy efficiency (83),13,EHW RESEARCH,EHW RESEARCH
Enablon,Carbon management software,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/enablon-greenhouse-gas-management-software.html,Energy efficiency (83),14,ENABLON,ENABLON
Vizelia,Smart building solution,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/vizelia-green-building-solution-webcast.html,Energy efficiency (83),14,VIZELIA,VIZELIA
Green Ingenierie,Innovative insulating material,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/green-ingenierie-innovative-insulating-material.html,Energy efficiency (83),14,GREEN INGENIERIE,GREEN INGENIERIE
Tiempo,A breakthrough in green electronics,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/tiempo-a-breakthrough-in-green-electronics.html,Energy efficiency (83),14,TIEMPO,TIEMPO
MCE-5 Development,Fuel consumption reduction technology,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/mce-5-fuel-consumption-reduction-technology.html,Energy efficiency (83),14,MCE 5 DEVELOPMENT,MCE 5 DEVELOPMENT
Domelys,Recover heat on wastewater,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/domelys-recovers-heat-on-wastewater.html,Energy efficiency (83),15,DOMELYS,DOMELYS
Novéa energies,Innovative lamp combining solar and wind,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/novea-energy-an-innovative-lamp-combining-solar-and-wind.html,Energy efficiency (83),15,NOVEA ENERGIES,NOVEA ENERGIES
Watteco,Smart energy hardware and software solutions,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/watteco-smart-energy-hardware-and-software-solutions.html,Energy efficiency (83),16,WATTECO,WATTECO
Fondis,1st fireplace cleaner CO2 zero,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/fondis-the-1st-fireplace-cleaner-co2-zero.html,Energy efficiency (83),16,FONDIS,FONDIS
Opaly,Active solar envelope,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/opaly-active-solar-envelope-in-buildings.html,Energy efficiency (83),16,OPALY,OPALY
Kilowattsol,Solar resource expert,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/kilowattsol-solar-resource-expert.html,Energy efficiency (83),16,KILOWATTSOL,KILOWATTSOL
Minix,Reduce aircraft vortex and pollution,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/minix-reduces-aircraft-vortex-and-pollution.html,Energy efficiency (83),17,MINIX,MINIX
COGEBIO,Increase yield of biomass cogeneration,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/ecoren-increased-the-yield-of-biomass-cogeneration.html,Energy efficiency (83),17,COGEBIO,COGEBIO
Roctool,Innovative molding technologies,https://www.frenchcleantech.com/company/categories/energy-efficiency/profile/roctool-innovative-molding-technology.html,Energy efficiency (83),17,ROCTOOL,ROCTOOL
Spark Cleantech,Decarbonized Hydrogen,https://www.frenchcleantech.com/company/categories/energy-generation/profile/spark-cleantech-decarbonized-hydrogen.html,Energy generation (95),1,SPARK CLEANTECH,SPARK CLEANTECH
Sakowin,Green H2 production,https://www.frenchcleantech.com/company/categories/energy-generation/profile/sakowin-green-h2-production.html,Energy generation (95),1,SAKOWIN,SAKOWIN
Sweetch Energy,Breakthrough osmotic technology,https://www.frenchcleantech.com/company/categories/energy-generation/profile/sweetch-breakthrough-osmotic-technology.html,Energy generation (95),1,SWEETCH ENERGY,SWEETCH ENERGY
Lhyfe,Green hydrogen producer,https://www.frenchcleantech.com/company/categories/energy-generation/profile/lhyfe-green-hydrogen-producer.html,Energy generation (95),2,LHYFE,LHYFE
Saurea,Autonomous solar motor,https://www.frenchcleantech.com/company/categories/energy-generation/profile/saurea-autonomous-solar-motor.html,Energy generation (95),2,SAUREA,SAUREA
Hysilabs,the alternative hydrogen supply,https://www.frenchcleantech.com/company/categories/energy-generation/profile/hysilabs-the-alternative-hydrogen-supply.html,Energy generation (95),2,HYSILABS,HYSILABS
Comwatt,Manufacturer for self consumption boxes,https://www.frenchcleantech.com/company/categories/energy-generation/profile/comwatt-manufacturer-for-self-consumption-boxes.html,Energy generation (95),2,COMWATT,COMWATT
Blue Shark Power System,Hydro Kinetic Turbine,https://www.frenchcleantech.com/company/categories/energy-generation/profile/blue-shark-power-system-hydro-kinetic-turbine.html,Energy generation (95),3,BLUE SHARK POWER SYSTEM,BLUE SHARK POWER SYSTEM
Mini Green Power,High tech mini power plants,https://www.frenchcleantech.com/company/categories/energy-generation/profile/mini-green-power-high-tech-mini-power-plants.html,Energy generation (95),3,MINI GREEN POWER,MINI GREEN POWER
Steadysun,Solar production forecasting specialist,https://www.frenchcleantech.com/company/categories/energy-generation/profile/steadysun-solar-production-forecasting-specialist.html,Energy generation (95),3,STEADYSUN,STEADYSUN
Save innovations,Recover energy of low flow fluids,https://www.frenchcleantech.com/company/categories/energy-generation/profile/save-innovations-recover-energy-of-low-flow-fluids.html,Energy generation (95),4,SAVE INNOVATIONS,SAVE INNOVATIONS
Cornis,Blade inspection technology,https://www.frenchcleantech.com/company/categories/energy-generation/profile/cornis-blade-inspection-technology.html,Energy generation (95),4,CORNIS,CORNIS
BoostHeat,New boiler generation,https://www.frenchcleantech.com/company/categories/energy-generation/profile/boostheat-new-boiler-generation.html,Energy generation (95),4,BOOSTHEAT,BOOSTHEAT
Innovative Energy,Innovative wind turbine,https://www.frenchcleantech.com/company/categories/energy-generation/profile/innovative-energy-innovative-wind-turbine.html,Energy generation (95),4,INNOVATIVE ENERGY,INNOVATIVE ENERGY
Solaire 2G,Advanced hybrid solar PV-T system,https://www.frenchcleantech.com/company/categories/energy-generation/profile/solair2g-advanced-hybrid-solar-pv-t-system.html,Energy generation (95),5,SOLAIRE 2G,SOLAIRE 2G
Erneo,Direct drive permanent magnet generators,https://www.frenchcleantech.com/company/categories/energy-generation/profile/erneo-direct-drive-permanent-magnet-generators.html,Energy generation (95),5,ERNEO,ERNEO
Hydroquest,Hydrokinetic turbines for rivers and estuaries,https://www.frenchcleantech.com/company/categories/energy-generation/profile/hydroquest-hydrokinetic-turbines-for-rivers-and-estuaries.html,Energy generation (95),5,HYDROQUEST,HYDROQUEST
Disasolar,Flexible Innovative Solution,https://www.frenchcleantech.com/company/categories/energy-generation/profile/disasolar-flexible-innovative-solution.html,Energy generation (95),6,DISASOLAR,DISASOLAR
Nenuphar,Vertical axis wind turbine,https://www.frenchcleantech.com/company/categories/energy-generation/profile/nenuphar-vertical-axis-wind-turbine.html,Energy generation (95),6,NENUPHAR,NENUPHAR
Open Ocean,Marine energy consultancy,https://www.frenchcleantech.com/company/categories/energy-generation/profile/open-ocean-marine-energy-consultancy.html,Energy generation (95),6,OPEN OCEAN,OPEN OCEAN
Helioclim,Reversible solar air conditioning solutions,https://www.frenchcleantech.com/company/categories/energy-generation/profile/helioclim-reversible-solar-air-conditioning-solutions.html,Energy generation (95),6,HELIOCLIM,HELIOCLIM
ez-Wheel,Electric wheel solutions,https://www.frenchcleantech.com/company/categories/energy-generation/profile/ez-wheel-electric-wheel-solutions.html,Energy generation (95),7,EZ WHEEL,EZ WHEEL
Photofuel,Harnessing the energy of sunlight photons,https://www.frenchcleantech.com/company/categories/energy-generation/profile/photofuel-harnessing-the-energy-of-sunlight-photons.html,Energy generation (95),7,PHOTOFUEL,PHOTOFUEL
Biomethodes,"Integrated biotech, Renewable chemistry and energy",https://www.frenchcleantech.com/company/categories/energy-generation/profile/biomethodes-integrated-biotech-renewable-chemistry-and-energy.html,Energy generation (95),7,BIOMETHODES,BIOMETHODES
Greensystech,Micro energy system solution,https://www.frenchcleantech.com/company/categories/energy-generation/profile/greensystech-micro-energy-system-solution.html,Energy generation (95),7,GREENSYSTECH,GREENSYSTECH
Solar Euromed,Concentrated Solar Power Technology,https://www.frenchcleantech.com/company/categories/energy-generation/profile/solar-euromed-concentrated-solar-power-technology.html,Energy generation (95),8,SOLAR EUROMED,SOLAR EUROMED
Watt & Sea,Cruising hydrogenerator,https://www.frenchcleantech.com/company/categories/energy-generation/profile/watt-sea-cruising-hydrogenerator.html,Energy generation (95),8,WATT SEA,WATT SEA
Turbiwatt,Hydroelectric turbines for low waterflows,https://www.frenchcleantech.com/company/categories/energy-generation/profile/turbiwatt-hydroelectric-turbines-for-low-waterflows.html,Energy generation (95),8,TURBIWATT,TURBIWATT
Eco.cinetic,Innovative tidal turbine,https://www.frenchcleantech.com/company/categories/energy-generation/profile/ecocinetic-innovative-tidal-turbine.html,Energy generation (95),9,ECO CINETIC,ECO CINETIC
Eviagenics,From biotech to cleantech,https://www.frenchcleantech.com/company/categories/energy-generation/profile/eviagenics-.html,Energy generation (95),9,EVIAGENICS,EVIAGENICS
Mecamidi,Hydro Power expert,https://www.frenchcleantech.com/company/categories/energy-generation/profile/mecamidi-hydro-power-expert.html,Energy generation (95),9,MECAMIDI,MECAMIDI
SymbioFCell,Fuel cell systems solutions,https://www.frenchcleantech.com/company/categories/energy-generation/profile/symbiofcell-fuel-cell-systems-solutions.html,Energy generation (95),10,SYMBIOFCELL,SYMBIOFCELL
